From	To	Species	Gene Name
O94702	2539040	Schizosaccharomyces pombe 972h-	Endoplasmic Reticulum metallopeptidase 1 (predicted)(SPCC1259.02c)
Q80U19	76441	Mus musculus	dishevelled associated activator of morphogenesis 2(Daam2)
P00428	287012	Bos taurus	cytochrome c oxidase subunit Vb(COX5B)
Q28139	282474	Bos taurus	solute carrier family 24 member 1(SLC24A1)
P37985	9733491	Dickeya dadantii 3937	30S ribosomal protein S1(rpsA)
Q884Q3	1183680	[Pseudomonas syringae] pv. tomato str. DC3000	GTP cyclohydrolase I(folE-2)
Q80TP3	70790	Mus musculus	ubiquitin protein ligase E3 component n-recognin 5(Ubr5)
Q5N892	4324749	Oryza sativa Japonica Group	auxin transporter-like protein 1(LOC4324749)
Q68LP1	474147	Rattus norvegicus	mindbomb E3 ubiquitin protein ligase 2(Mib2)
B4JTF5	6567467	Drosophila grimshawi	GH23852 gene product from transcript GH23852-RA(Dgri\GH23852)
A4IJ21	100125104	Xenopus tropicalis	meiosis specific nuclear structural 1(mns1)
Q28141	281115	Bos taurus	DExH-box helicase 9(DHX9)
O94708	2539092	Schizosaccharomyces pombe 972h-	conserved fungal protein, DUF2457 family(SPCC1259.08)
D2HNY3	100481860	Ailuropoda melanoleuca	FANCD2/FANCI-associated nuclease 1(FAN1)
B7VN06	7162600	Vibrio tasmaniensis LGP32	ribosomal RNA small subunit methyltransferase G(VS_RS14795)
Q9XWF4	173001	Caenorhabditis elegans	Protein IMPACT homolog(impt-1)
Q92JL4	928606	Rickettsia conorii str. Malish 7	hypothetical protein(RC_RS00280)
O94712	2538867	Schizosaccharomyces pombe 972h-	Ran GTPase binding protein (predicted)(SPCC1259.12c)
Q8TE12	4009	Homo sapiens	LIM homeobox transcription factor 1 alpha(LMX1A)
Q9PPP2	876118	Ureaplasma parvum serovar 3 str. ATCC 700970	DNA-directed RNA polymerase subunit delta(UU_RS03190)
Q8TDP1	84153	Homo sapiens	ribonuclease H2 subunit C(RNASEH2C)
A7YWP4	615205	Bos taurus	histidine ammonia-lyase(HAL)
B7GLA4	7038223	Anoxybacillus flavithermus WK1	7-cyano-7-deazaguanine synthase(AFLV_RS10245)
Q80TQ5	69582	Mus musculus	pleckstrin homology domain containing, family M (with RUN domain) member 2(Plekhm2)
Q2NFM3	3855273	Methanosphaera stadtmanae DSM 3091	endonuclease IV(MSP_RS04910)
Q80U22	100213	Mus musculus	RUN and SH3 domain containing 2(Rusc2)
A4IJ15	100124762	Xenopus tropicalis	cilia and flagella associated protein 97(cfap97)
O94717	2538690	Schizosaccharomyces pombe 972h-	RNA-silencing factor Ers1(ers1)
P02683	25247	Rattus norvegicus	neuron specific gene family member 1(Nsg1)
Q6T308	493962	Felis catus	1,4-alpha-glucan branching enzyme 1(GBE1)
Q9C509	839691	Arabidopsis thaliana	dihydrosphingosine phosphate lyase(DPL1)
Q8CN38	1057755	Staphylococcus epidermidis ATCC 12228	phosphomannomutase(SE2042)
Q9C507	843267	Arabidopsis thaliana	Tetratricopeptide repeat (TPR)-like superfamily protein(AT1G69350)
Q9XWC2	177723	Caenorhabditis elegans	DOMON domain-containing protein Y73F4A.1(Y73F4A.1)
Q9C4M3	8925787	Haloferax volcanii DS2	tRNA-guanine(15) transglycosylase(HVO_RS14310)
O94720	2538884	Schizosaccharomyces pombe 972h-	transcription factor, zf-GATA type (predicted)(SPCC1393.08)
P00440	3881081	Neurospora crassa OR74A	tyrosinase(T)
Q04Z09	4406714	Leptospira borgpetersenii serovar Hardjo-bovis str. L550	UDP-N-acetylmuramoylalanine--D-glutamate ligase(LBL_RS12735)
Q80TR8	321006	Mus musculus	Vpr (HIV-1) binding protein(Vprbp)
A7YWS7	518653	Bos taurus	DNA polymerase epsilon 2, accessory subunit(POLE2)
A5DEK6	5127538	Meyerozyma guilliermondii ATCC 6260	hypothetical protein(PGUG_01707)
P37967	938580	Bacillus subtilis subsp. subtilis str. 168	para-nitrobenzyl esterase(pnbA)
P37963	936772	Bacillus subtilis subsp. subtilis str. 168	stage VI sporulation protein D(spoVID)
Q80U30	74374	Mus musculus	C-type lectin domain family 16, member A(Clec16a)
Q14498	9584	Homo sapiens	RNA binding motif protein 39(RBM39)
Q6T310	387496	Homo sapiens	RAS like family 11 member A(RASL11A)
Q80TR1	330814	Mus musculus	adhesion G protein-coupled receptor L1(Adgrl1)
Q80TR4	20562	Mus musculus	slit homolog 1 (Drosophila)(Slit1)
Q5N870	4324864	Oryza sativa Japonica Group	endoribonuclease Dicer homolog 3a(LOC4324864)
Q0VGE8	125893	Homo sapiens	zinc finger protein 816(ZNF816)
Q9PPM7	904998	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	excinuclease ABC subunit B(uvrB)
P00450	1356	Homo sapiens	ceruloplasmin(CP)
O94726	2541981	Schizosaccharomyces pombe 972h-	alpha mannosidase Mnl1 (predicted)(mnl1)
Q3ILQ9	3709414	Pseudoalteromonas haloplanktis TAC125	siroheme synthase(cysG)
A8A8X8	5562184	Ignicoccus hospitalis KIN4/I	alanyl-tRNA synthetase(IGNI_RS01025)
Q8TDN4	91768	Homo sapiens	Cdk5 and Abl enzyme substrate 1(CABLES1)
Q9XWD6	173064	Caenorhabditis elegans	Cell death abnormality protein 1(ced-1)
Q80TS8	231238	Mus musculus	sel-1 suppressor of lin-12-like 3 (C. elegans)(Sel1l3)
Q80U49	217882	Mus musculus	centrosomal protein 170B(Cep170b)
Q5FV35	829785	Arabidopsis thaliana	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein(CRH1)
Q80TS3	319387	Mus musculus	adhesion G protein-coupled receptor L3(Adgrl3)
Q815S0	1207403	Bacillus cereus ATCC 14579	tyrosyl-tRNA synthetase(BC5062)
Q80U40	231760	Mus musculus	RIMS binding protein 2(Rimbp2)
Q2NG04	3854734	Methanosphaera stadtmanae DSM 3091	30S ribosomal protein S2(MSP_RS04290)
Q13RY4	4006561	Paraburkholderia xenovorans LB400	homoserine kinase(BXE_RS23000)
Q80TS5	94187	Mus musculus	zinc finger protein 423(Zfp423)
Q28156	281972	Bos taurus	phosphodiesterase 5A(PDE5A)
Q2RHW0	3831948	Moorella thermoacetica ATCC 39073	histidyl-tRNA synthetase(Moth_1677)
Q752Q2	4622347	Eremothecium gossypii ATCC 10895	AFR521Wp(AGOS_AFR521W)
D2HNW6	100476328	Ailuropoda melanoleuca	regulatory factor X6(RFX6)
Q3ILP3	3709957	Pseudoalteromonas haloplanktis TAC125	phosphoenolpyruvate carboxykinase [ATP](PSHA_RS01125)
Q8TDM6	9231	Homo sapiens	discs large MAGUK scaffold protein 5(DLG5)
Q6IMN6	65981	Homo sapiens	caprin family member 2(CAPRIN2)
Q5UZ40	3128603	Haloarcula marismortui ATCC 43049	DNA polymerase II(RR_RS16010)
Q5UYS2	3128887	Haloarcula marismortui ATCC 43049	translation initiation factor 2 subunit gamma(RR_RS16595)
P35525	100912455	Rattus norvegicus	chloride channel protein 2-like(LOC100912455)
Q3ILK1	3709951	Pseudoalteromonas haloplanktis TAC125	3-methyl-2-oxobutanoate hydroxymethyltransferase(panB)
Q5UZ47	3129380	Haloarcula marismortui ATCC 43049	argininosuccinate lyase(RR_RS15975)
Q5UZ46	3129251	Haloarcula marismortui ATCC 43049	argininosuccinate synthase(RR_RS15980)
Q0VFZ6	129881	Homo sapiens	coiled-coil domain containing 173(CCDC173)
Q00234	5997138	Aspergillus oryzae RIB40	tyrosinase(AOR_1_92074)
Q8TE60	170692	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 18(ADAMTS18)
Q8ZQU2	1252255	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	succinate dehydrogenase iron-sulfur subunit(sdhB)
O94740	2541293	Schizosaccharomyces pombe 972h-	Hsp90 co-chaperone Cdc37(cdc37)
Q8TE68	54869	Homo sapiens	EPS8 like 1(EPS8L1)
Q80TD3	329679	Mus musculus	folliculin interacting protein 2(Fnip2)
Q8TDU9	339403	Homo sapiens	relaxin/insulin like family peptide receptor 4(RXFP4)
Q9VMC9	33907	Drosophila melanogaster	Kynurenine formamidase(KFase)
O94744	2538770	Schizosaccharomyces pombe 972h-	G-protein coupled receptor Git3(git3)
Q5F226	245827	Mus musculus	FAT atypical cadherin 2(Fat2)
O94759	7226	Homo sapiens	transient receptor potential cation channel subfamily M member 2(TRPM2)
Q9UGT4	56241	Homo sapiens	sushi domain containing 2(SUSD2)
Q5SVZ6	79830	Homo sapiens	zinc finger MYM-type containing 1(ZMYM1)
Q7MLC1	2624312	Vibrio vulnificus YJ016	catalase-peroxidase(BJE04_RS07495)
Q0PGW2	312270	Rattus norvegicus	similar to RIKEN cDNA E330009J07 gene(RGD1563986)
Q6IMH0	73407	Mus musculus	testis, prostate and placenta expressed(Tepp)
Q28178	281530	Bos taurus	thrombospondin 1(THBS1)
A2TLM1	100038014	Sus scrofa	ribose 5-phosphate isomerase A(RPIA)
Q6Z7K5	4330894	Oryza sativa Japonica Group	metal tolerance protein 3(LOC4330894)
Q58CN9	541291	Bos taurus	N-acyl phosphatidylethanolamine phospholipase D(NAPEPLD)
Q2RHY7	3830938	Moorella thermoacetica ATCC 39073	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase(Moth_1650)
Q884V3	1183628	[Pseudomonas syringae] pv. tomato str. DC3000	protein-glutamate methylesterase CheB(cheB-2)
Q8TDT2	390212	Homo sapiens	G protein-coupled receptor 152(GPR152)
A4IIC5	100124712	Xenopus tropicalis	solute carrier family 39 (zinc transporter), member 3(slc39a3)
Q80TE0	68925	Mus musculus	RNA polymerase II associated protein 1(Rpap1)
Q8ZQT3	1252278	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	zinc transporter ZitB(ybgR)
O94751	2538736	Schizosaccharomyces pombe 972h-	serine/threonine protein kinase Bub1(bub1)
Q8TE56	170691	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 17(ADAMTS17)
Q3ILJ5	3708697	Pseudoalteromonas haloplanktis TAC125	GTP cyclohydrolase(PSHA_RS02675)
P82125	100738746	Sus scrofa	1,5-anhydro-D-fructose reductase(LOC100738746)
Q8TE57	170690	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 16(ADAMTS16)
Q8TE58	170689	Homo sapiens	ADAM metallopeptidase with thrombospondin type 1 motif 15(ADAMTS15)
Q9Y7U7	2539488	Schizosaccharomyces pombe 972h-	RNA-binding protein Snd1(snd1)
F1MJM0	533643	Bos taurus	zinc finger protein 326(ZNF326)
Q6IMK3	402784	Danio rerio	DnaJ (Hsp40) homolog, subfamily C, member 27(dnajc27)
A8A8M4	5562151	Ignicoccus hospitalis KIN4/I	hypothetical protein(IGNI_RS00490)
P28231	14620	Mus musculus	gap junction protein, beta 3(Gjb3)
Q3ILM2	3710305	Pseudoalteromonas haloplanktis TAC125	tRNA/tmRNA (uracil-C(5))-methyltransferase(PSHA_RS01235)
P35500	32619	Drosophila melanogaster	paralytic(para)
O04212	818597	Arabidopsis thaliana	ABC2 homolog 9(ATH9)
Q9Y7U4	2539436	Schizosaccharomyces pombe 972h-	Smc5-6 complex non-SMC subunit Nse3(nse3)
Q9Y7U6	2539580	Schizosaccharomyces pombe 972h-	RhoGEF for Rho1, Rgf1(rgf1)
O94760	23576	Homo sapiens	dimethylarginine dimethylaminohydrolase 1(DDAH1)
Q7VSX4	2665403	Bordetella pertussis Tohama I	type IV secretion system protein PtlE(ptlG)
Q80TF6	668880	Mus musculus	START domain containing 9(Stard9)
P28228	490936	Canis lupus familiaris	gap junction protein gamma 1(GJC1)
O94766	26229	Homo sapiens	beta-1,3-glucuronyltransferase 3(B3GAT3)
Q80TF3	279653	Mus musculus	protocadherin 19(Pcdh19)
Q8TDS5	165140	Homo sapiens	oxoeicosanoid receptor 1(OXER1)
Q9UGP8	11231	Homo sapiens	SEC63 homolog, protein translocation regulator(SEC63)
O94761	9401	Homo sapiens	RecQ like helicase 4(RECQL4)
O94762	9400	Homo sapiens	RecQ like helicase 5(RECQL5)
Q5F201	71860	Mus musculus	cilia and flagella associated protein 52(Cfap52)
Q9UH36	402055	Homo sapiens	SRR1 domain containing(SRRD)
Q28193	281374	Bos taurus	furin, paired basic amino acid cleaving enzyme(FURIN)
P28223	3356	Homo sapiens	5-hydroxytryptamine receptor 2A(HTR2A)
Q00202	2873843	Aspergillus nidulans FGSC A4	similar to S54308 DNA binding protein - Emericella nidulans(AN2855.2)
Q9Y7V2	2538700	Schizosaccharomyces pombe 972h-	transcription elongation regulator (predicted)(SPCC645.13)
Q9XVV3	178024	Caenorhabditis elegans	Nuclear hormone receptor family member nhr-67(nhr-67)
Q5UYP1	3130346	Haloarcula marismortui ATCC 43049	ATPase AAA(cdc6)
Q8ZQQ4	1252318	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	excinuclease ABC subunit B(uvrB)
Q9XW70	190704	Caenorhabditis elegans	Bardet-Biedl syndrome 7 protein homolog(osm-12)
Q28199	282173	Bos taurus	cyclin dependent kinase 5 regulatory subunit 1(CDK5R1)
Q9BSA4	94015	Homo sapiens	tweety family member 2(TTYH2)
Q00204	2876035	Aspergillus nidulans FGSC A4	similar to PALB(AN0256.2)
Q8TDR0	26146	Homo sapiens	TRAF3 interacting protein 1(TRAF3IP1)
P82147	37744	Drosophila melanogaster	lethal (2) essential for life(l(2)efl)
Q8CN91	1055833	Staphylococcus epidermidis ATCC 12228	malate:quinone oxidoreductase(SE1943)
Q7MLF9	2624272	Vibrio vulnificus YJ016	phosphoribosylaminoimidazolesuccinocarboxamide synthase(BJE04_RS07305)
Q14432	5139	Homo sapiens	phosphodiesterase 3A(PDE3A)
P35564	12330	Mus musculus	calnexin(Canx)
Q657W3	4323905	Oryza sativa Japonica Group	cation-chloride cotransporter 2(LOC4323905)
Q9BSF4	90580	Homo sapiens	translocase of inner mitochondrial membrane 29(TIMM29)
P35563	79246	Rattus norvegicus	5-hydroxytryptamine receptor 3A(Htr3a)
Q5T7W0	114991	Homo sapiens	zinc finger protein 618(ZNF618)
Q9BSF0	84281	Homo sapiens	chromosome 2 open reading frame 88(C2orf88)
P35570	25467	Rattus norvegicus	insulin receptor substrate 1(Irs1)
P35571	25062	Rattus norvegicus	glycerol-3-phosphate dehydrogenase 2(Gpd2)
P35573	178	Homo sapiens	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase(AGL)
Q8TDY8	57722	Homo sapiens	immunoglobulin superfamily DCC subclass member 4(IGDCC4)
Q8TDY4	55616	Homo sapiens	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3(ASAP3)
Q8TDY2	9821	Homo sapiens	RB1 inducible coiled-coil 1(RB1CC1)
Q9UH90	51725	Homo sapiens	F-box protein 40(FBXO40)
Q5T7V8	92344	Homo sapiens	golgin, RAB6 interacting(GORAB)
Q5SW79	9859	Homo sapiens	centrosomal protein 170(CEP170)
A1C9M6	4707091	Aspergillus clavatus NRRL 1	RNA helicase/RNAse III, putative(ACLA_055980)
Q14442	5283	Homo sapiens	phosphatidylinositol glycan anchor biosynthesis class H(PIGH)
Q9UH92	6945	Homo sapiens	MLX, MAX dimerization protein(MLX)
Q00266	4143	Homo sapiens	methionine adenosyltransferase 1A(MAT1A)
Q9UH99	25777	Homo sapiens	Sad1 and UNC84 domain containing 2(SUN2)
O26868	1471182	Methanothermobacter thermautotrophicus str. Delta H	thymidylate synthase(MTH_RS03630)
Q2NFU2	3856230	Methanosphaera stadtmanae DSM 3091	glutamyl-tRNA synthetase(gltX)
P35579	4627	Homo sapiens	myosin heavy chain 9(MYH9)
O26864	1471178	Methanothermobacter thermautotrophicus str. Delta H	phenylalanyl-tRNA synthetase subunit beta(MTH_RS03610)
P35580	4628	Homo sapiens	myosin heavy chain 10(MYH10)
Q1LIM4	24151467	Cupriavidus metallidurans CH34	UDP-N-acetylmuramoylalanine--D-glutamate ligase(RMET_RS15675)
Q8TDX9	168507	Homo sapiens	polycystin 1 like 1, transient receptor potential channel interacting(PKD1L1)
Q8TE99	92370	Homo sapiens	2-phosphoxylose phosphatase 1(PXYLP1)
Q8TDX6	55790	Homo sapiens	chondroitin sulfate N-acetylgalactosaminyltransferase 1(CSGALNACT1)
Q14435	2591	Homo sapiens	polypeptide N-acetylgalactosaminyltransferase 3(GALNT3)
Q8TDX5	130013	Homo sapiens	aminocarboxymuconate semialdehyde decarboxylase(ACMSD)
Q6T393	360604	Rattus norvegicus	spermatogenesis associated 20(Spata20)
Q796C3	939443	Bacillus subtilis subsp. subtilis str. 168	sporulenol synthase(sqhC)
Q8TDX7	140609	Homo sapiens	NIMA related kinase 7(NEK7)
Q0J0G2	4347546	Oryza sativa Japonica Group	beta-glucosidase 32(LOC4347546)
Q80TI0	235283	Mus musculus	GRAM domain containing 1B(Gramd1b)
Q80TI1	211945	Mus musculus	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1(Plekhh1)
A4IIK1	100125009	Xenopus tropicalis	malignant fibrous histiocytoma amplified sequence 1(mfhas1)
Q9Y7Y3	2540924	Schizosaccharomyces pombe 972h-	RNA-binding protein, involved in ribosome biogenesis (predicted)(SPBC365.04c)
Q9BSD3	83695	Homo sapiens	RAD9-HUS1-RAD1 interacting nuclear orphan 1(RHNO1)
B4K616	6574763	Drosophila mojavensis	GI22329 gene product from transcript GI22329-RA(Dmoj\GI22329)
O34899	935972	Bacillus subtilis subsp. subtilis str. 168	Cob(i)yrinic acid a,c-diamide adenosyltransferase(yvqK)
Q9BSD7	84284	Homo sapiens	nucleoside-triphosphatase, cancer-related(NTPCR)
O34896	939418	Bacillus subtilis subsp. subtilis str. 168	oxidoreductase(yjmF)
P35546	19713	Mus musculus	ret proto-oncogene(Ret)
P35547	443412	Ovis aries	nuclear receptor subfamily 3 group C member 1(NR3C1)
Q9UH65	23075	Homo sapiens	SWAP switching B-cell complex 70kDa subunit(SWAP70)
P35543	100009138	Oryctolagus cuniculus	serum amyloid A-3(SAA3)
O57865	1444021	Pyrococcus horikoshii OT3	5'-methylthioadenosine phosphorylase(PH_RS00575)
O57863	1444019	Pyrococcus horikoshii OT3	DNA polymerase II small subunit(PH_RS00565)
Q14409	2713	Homo sapiens	glycerol kinase 3 pseudogene(GK3P)
C0H906	100306803	Salmo salar	Nuclear cap-binding protein subunit 1-A(nbp1a)
Q92JC1	928043	Rickettsia conorii str. Malish 7	hypothetical protein(RC_RS00760)
Q8TE82	54436	Homo sapiens	SH3 domain and tetratricopeptide repeats 1(SH3TC1)
Q8TDW7	120114	Homo sapiens	FAT atypical cadherin 3(FAT3)
A2AP18	269615	Mus musculus	phospholipase C, eta 2(Plch2)
B4RX41	10558441	Alteromonas mediterranea DE	glucose-6-phosphate isomerase(MADE_RS15190)
Q42376	542216	Zea mays	lea protein group 3(mlg3)
Q752Y3	4622264	Eremothecium gossypii ATCC 10895	AFR440Cp(AGOS_AFR440C)
Q8TDW4	54879	Homo sapiens	suppression of tumorigenicity 7 like(ST7L)
Q9UGV2	57446	Homo sapiens	NDRG family member 3(NDRG3)
Q9BSE4	64224	Homo sapiens	HERPUD family member 2(HERPUD2)
Q42371	817173	Arabidopsis thaliana	Leucine-rich receptor-like protein kinase family protein(ER)
Q2NFW8	3855462	Methanosphaera stadtmanae DSM 3091	50S ribosomal protein L24(rpl24p)
Q9Y7Z4	2539758	Schizosaccharomyces pombe 972h-	Golgi transport complex subunit Cog3 (predicted)(cog3)
A4IIJ3	100124763	Xenopus tropicalis	WW and C2 domain containing 1(wwc1)
Q9XVZ8	175090	Caenorhabditis elegans	Transcription elongation factor 1 homolog(Y54G11A.11)
Q9Y7Z8	2539659	Schizosaccharomyces pombe 972h-	myosin type I(myo1)
Q0CBE1	4323383	Aspergillus terreus NIH2624	similar to RNA helicase(ATEG_08993)
P35559	25700	Rattus norvegicus	insulin degrading enzyme(Ide)
Q9PPF1	905078	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	3-polyprenyl-4-hydroxybenzoate decarboxylase(Cj0768c)
P35556	2201	Homo sapiens	fibrillin 2(FBN2)
P35555	2200	Homo sapiens	fibrillin 1(FBN1)
Q9UH77	26249	Homo sapiens	kelch like family member 3(KLHL3)
Q9BSE2	84283	Homo sapiens	transmembrane protein 79(TMEM79)
F1MJR8	522810	Bos taurus	testis expressed 14, intercellular bridge forming factor(TEX14)
Q8TE77	54961	Homo sapiens	slingshot protein phosphatase 3(SSH3)
F4HYF3	841263	Arabidopsis thaliana	D-cysteine desulfhydrase(D-CDES)
Q14416	2912	Homo sapiens	glutamate metabotropic receptor 2(GRM2)
O04251	828135	Arabidopsis thaliana	transcription coactivator(AT4G02110)
Q9NFP1	31551	Drosophila melanogaster	CG32754 gene product from transcript CG32754-RA(vanin-like)
Q8TE73	1767	Homo sapiens	dynein axonemal heavy chain 5(DNAH5)
Q8TE76	79710	Homo sapiens	MORC family CW-type zinc finger 4(MORC4)
Q5FVH0	315598	Rattus norvegicus	C1q and tumor necrosis factor related protein 5(C1qtnf5)
Q4HVU7	23557791	Fusarium graminearum PH-1	iron-sulfur clusters transporter ATM1(FGSG_10911)
D3ZE85	366376	Rattus norvegicus	ferric-chelate reductase 1-like(Frrs1l)
Q7VUD5	2666181	Bordetella pertussis Tohama I	urease accessory protein UreG(ureG)
Q0S2B2	4224102	Rhodococcus jostii RHA1	hypothetical protein(RHA1_RS32040)
A7MD48	84530	Homo sapiens	serine/arginine repetitive matrix 4(SRRM4)
Q9NFT7	43191	Drosophila melanogaster	CG32849 gene product from transcript CG32849-RA(Hex-t2)
Q8TC71	132671	Homo sapiens	spermatogenesis associated 18(SPATA18)
Q9NFT9	117364	Drosophila melanogaster	CG33102 gene product from transcript CG33102-RA(Hex-t1)
Q2RJF9	3833248	Moorella thermoacetica ATCC 39073	RNA-binding protein Hfq(Moth_1116)
F4HYR6	842532	Arabidopsis thaliana	PA-domain containing subtilase family protein(ALE1)
O28949	1484546	Archaeoglobus fulgidus DSM 4304	GMP synthase(AF_RS06670)
A7MCS3	566173	Danio rerio	si:ch211-76l23.7(si:ch211-76l23.7)
P33215	17997	Mus musculus	neural precursor cell expressed, developmentally down-regulated gene 1(Nedd1)
Q5FVG8	307288	Rattus norvegicus	GRAM domain containing 3(Gramd3)
P35475	3425	Homo sapiens	iduronidase, alpha-L-(IDUA)
P35478	514170	Bos taurus	cystatin B (stefin B)(CSTB)
P0CT61	2539286	Schizosaccharomyces pombe 972h-	60S ribosomal protein L23(rpl2302)
Q58E76	734380	Xenopus laevis	ATPase family, AAA domain containing 3A S homeolog(atad3a.S)
Q5FVG1	313725	Rattus norvegicus	G protein-coupled receptor 157(Gpr157)
Q059Y8	77772	Mus musculus	DC-STAMP domain containing 1(Dcst1)
Q9XVM9	192065	Caenorhabditis elegans	Tetraspanin-15(tsp-15)
Q9Y7M8	2541286	Schizosaccharomyces pombe 972h-	CCR4/nocturin family endoribonuclease (predicted)(SPBC9B6.11c)
Q09X08	4290675	Morus indica	acetyl-CoA carboxylase beta subunit(accD)
Q6YXH8	4347313	Oryza sativa Japonica Group	cyclin-D4-1(LOC4347313)
Q9UFF9	9337	Homo sapiens	CCR4-NOT transcription complex subunit 8(CNOT8)
Q8TC84	92565	Homo sapiens	fibronectin type III and ankyrin repeat domains 1(FANK1)
Q6WV16	38346	Drosophila melanogaster	polypeptide GalNAc transferase 6(pgant6)
P28072	5694	Homo sapiens	proteasome subunit beta 6(PSMB6)
Q6WV17	326151	Drosophila melanogaster	polypeptide GalNAc transferase 5(pgant5)
Q2LD37	84162	Homo sapiens	KIAA1109(KIAA1109)
P35465	29431	Rattus norvegicus	p21 (RAC1) activated kinase 1(Pak1)
O28955	1484540	Archaeoglobus fulgidus DSM 4304	hypothetical protein(AF_RS06635)
